T,p,phi,tau_e,tign
900,12.5,1.7,1.84E-03,4.30E-02
900,12.5,1.775,1.81E-03,4.22E-02
900,12.5,1.85,1.78E-03,4.14E-02
900,12.5,1.925,1.75E-03,4.06E-02
900,12.5,2,1.73E-03,3.99E-02
900,13,0.575,2.97E-03,7.67E-02
900,13,0.65,2.79E-03,7.12E-02
900,13,0.725,2.64E-03,6.66E-02
900,13,0.8,2.51E-03,6.28E-02
900,13,0.875,2.40E-03,5.96E-02
900,13,0.95,2.31E-03,5.69E-02
900,13,1.025,2.23E-03,5.45E-02
900,13,1.1,2.15E-03,5.24E-02
900,13,1.175,2.09E-03,5.05E-02
900,13,1.25,2.03E-03,4.89E-02
900,13,1.325,1.98E-03,4.74E-02
900,13,1.4,1.94E-03,4.61E-02
900,13,1.475,1.89E-03,4.49E-02
900,13,1.55,1.85E-03,4.38E-02
900,13,1.625,1.82E-03,4.28E-02
900,13,1.7,1.79E-03,4.19E-02
900,13,1.775,1.76E-03,4.10E-02
900,13,1.85,1.73E-03,4.02E-02
900,13,1.925,1.70E-03,3.95E-02
900,13,2,1.68E-03,3.88E-02
900,13.5,0.575,2.89E-03,7.47E-02
900,13.5,0.65,2.71E-03,6.93E-02
900,13.5,0.725,2.56E-03,6.49E-02
900,13.5,0.8,2.44E-03,6.12E-02
900,13.5,0.875,2.33E-03,5.80E-02
900,13.5,0.95,2.24E-03,5.54E-02
900,13.5,1.025,2.16E-03,5.30E-02
900,13.5,1.1,2.09E-03,5.10E-02
900,13.5,1.175,2.03E-03,4.92E-02
900,13.5,1.25,1.98E-03,4.76E-02
900,13.5,1.325,1.93E-03,4.62E-02
900,13.5,1.4,1.88E-03,4.49E-02
900,13.5,1.475,1.84E-03,4.37E-02
900,13.5,1.55,1.80E-03,4.26E-02
900,13.5,1.625,1.77E-03,4.17E-02
900,13.5,1.7,1.74E-03,4.08E-02
900,13.5,1.775,1.71E-03,3.99E-02
900,13.5,1.85,1.68E-03,3.92E-02
900,13.5,1.925,1.65E-03,3.85E-02
900,13.5,2,1.63E-03,3.78E-02
900,14,0.575,2.81E-03,7.28E-02
900,14,0.65,2.63E-03,6.75E-02
900,14,0.725,2.49E-03,6.32E-02
900,14,0.8,2.37E-03,5.96E-02
900,14,0.875,2.27E-03,5.66E-02
900,14,0.95,2.18E-03,5.40E-02
900,14,1.025,2.10E-03,5.17E-02
900,14,1.1,2.04E-03,4.97E-02
900,14,1.175,1.98E-03,4.80E-02
900,14,1.25,1.92E-03,4.64E-02
900,14,1.325,1.87E-03,4.50E-02
900,14,1.4,1.83E-03,4.37E-02
900,14,1.475,1.79E-03,4.26E-02
900,14,1.55,1.75E-03,4.16E-02
900,14,1.625,1.72E-03,4.06E-02
900,14,1.7,1.69E-03,3.97E-02
900,14,1.775,1.66E-03,3.89E-02
900,14,1.85,1.63E-03,3.82E-02
900,14,1.925,1.61E-03,3.75E-02
900,14,2,1.59E-03,3.69E-02
900,14.5,0.575,2.73E-03,7.10E-02
900,14.5,0.65,2.56E-03,6.59E-02
900,14.5,0.725,2.42E-03,6.16E-02
900,14.5,0.8,2.31E-03,5.81E-02
900,14.5,0.875,2.21E-03,5.52E-02
900,14.5,0.95,2.12E-03,5.26E-02
900,14.5,1.025,2.05E-03,5.04E-02
900,14.5,1.1,1.98E-03,4.85E-02
900,14.5,1.175,1.92E-03,4.68E-02
900,14.5,1.25,1.87E-03,4.52E-02
900,14.5,1.325,1.82E-03,4.39E-02
900,14.5,1.4,1.78E-03,4.27E-02
900,14.5,1.475,1.74E-03,4.15E-02
900,14.5,1.55,1.71E-03,4.05E-02
900,14.5,1.625,1.67E-03,3.96E-02
900,14.5,1.7,1.64E-03,3.88E-02
900,14.5,1.775,1.62E-03,3.80E-02
900,14.5,1.85,1.59E-03,3.72E-02
900,14.5,1.925,1.57E-03,3.66E-02
900,14.5,2,1.55E-03,3.60E-02
900,15,0.575,2.66E-03,6.93E-02
900,15,0.65,2.49E-03,6.43E-02
900,15,0.725,2.36E-03,6.02E-02
900,15,0.8,2.25E-03,5.67E-02
900,15,0.875,2.15E-03,5.38E-02
900,15,0.95,2.07E-03,5.14E-02
900,15,1.025,1.99E-03,4.92E-02
900,15,1.1,1.93E-03,4.73E-02
900,15,1.175,1.87E-03,4.56E-02
900,15,1.25,1.82E-03,4.42E-02
900,15,1.325,1.78E-03,4.28E-02
900,15,1.4,1.74E-03,4.16E-02
900,15,1.475,1.70E-03,4.06E-02
900,15,1.55,1.66E-03,3.96E-02
900,15,1.625,1.63E-03,3.87E-02
900,15,1.7,1.60E-03,3.78E-02
900,15,1.775,1.58E-03,3.71E-02
900,15,1.85,1.55E-03,3.64E-02
900,15,1.925,1.53E-03,3.57E-02
900,15,2,1.51E-03,3.51E-02
900,15.5,0.575,2.59E-03,6.77E-02
900,15.5,0.65,2.43E-03,6.28E-02
900,15.5,0.725,2.30E-03,5.88E-02
900,15.5,0.8,2.19E-03,5.54E-02
900,15.5,0.875,2.10E-03,5.26E-02
900,15.5,0.95,2.02E-03,5.02E-02
900,15.5,1.025,1.94E-03,4.81E-02
900,15.5,1.1,1.88E-03,4.62E-02
900,15.5,1.175,1.83E-03,4.46E-02
900,15.5,1.25,1.78E-03,4.31E-02
900,15.5,1.325,1.73E-03,4.18E-02
900,15.5,1.4,1.69E-03,4.07E-02
900,15.5,1.475,1.66E-03,3.96E-02
900,15.5,1.55,1.62E-03,3.87E-02
900,15.5,1.625,1.59E-03,3.78E-02
900,15.5,1.7,1.56E-03,3.70E-02
900,15.5,1.775,1.54E-03,3.62E-02
900,15.5,1.85,1.51E-03,3.55E-02
900,15.5,1.925,1.49E-03,3.49E-02
900,15.5,2,1.47E-03,3.43E-02
900,16,0.575,2.53E-03,6.62E-02
900,16,0.65,2.37E-03,6.14E-02
900,16,0.725,2.24E-03,5.74E-02
900,16,0.8,2.14E-03,5.42E-02
900,16,0.875,2.05E-03,5.14E-02
900,16,0.95,1.97E-03,4.90E-02
900,16,1.025,1.90E-03,4.70E-02
900,16,1.1,1.84E-03,4.52E-02
900,16,1.175,1.78E-03,4.36E-02
